Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2020,14,2020-03-30,41.3864,2.1874,Ciutadella,61.332
2020,10,2020-03-02,41.4261,2.148,Vall Hebron,61.162
2020,11,2020-03-09,41.4261,2.148,Vall Hebron,46.399
2020,12,2020-03-16,41.4261,2.148,Vall Hebron,67.200
2020,13,2020-03-23,41.4261,2.148,Vall Hebron,72.089
2020,14,2020-03-30,41.4261,2.148,Vall Hebron,65.809
2020,10,2020-03-02,41.3875,2.1151,Palau Reial,65.426
2020,11,2020-03-09,41.3875,2.1151,Palau Reial,49.043
2020,12,2020-03-16,41.3875,2.1151,Palau Reial,72.784
2020,13,2020-03-23,41.3875,2.1151,Palau Reial,78.082
2020,14,2020-03-30,41.3875,2.1151,Palau Reial,71.048
2020,15,2020-04-06,41.3853,2.1538,Eixample,71.396
2020,16,2020-04-13,41.3853,2.1538,Eixample,66.778
2020,17,2020-04-20,41.3853,2.1538,Eixample,50.338
2020,18,2020-04-27,41.3853,2.1538,Eixample,53.393
2020,15,2020-04-06,41.3987,2.1534,Gràcia,78.605
2020,16,2020-04-13,41.3987,2.1534,Gràcia,71.507
2020,17,2020-04-20,41.3987,2.1534,Gràcia,53.980
2020,18,2020-04-27,41.3987,2.1534,Gràcia,59.801
2020,15,2020-04-06,41.3864,2.1874,Ciutadella,66.759
2020,16,2020-04-13,41.3864,2.1874,Ciutadella,67.200
2020,17,2020-04-20,41.3864,2.1874,Ciutadella,52.735
2020,18,2020-04-27,41.3864,2.1874,Ciutadella,57.786
2020,15,2020-04-06,41.4261,2.148,Vall Hebron,78.522
2020,16,2020-04-13,41.4261,2.148,Vall Hebron,70.629
2020,17,2020-04-20,41.4261,2.148,Vall Hebron,59.052
2020,18,2020-04-27,41.4261,2.148,Vall Hebron,62.455
2020,15,2020-04-06,41.3875,2.1151,Palau Reial,88.215
2020,16,2020-04-13,41.3875,2.1151,Palau Reial,77.293
2020,17,2020-04-20,41.3875,2.1151,Palau Reial,63.281
2020,18,2020-04-27,41.3875,2.1151,Palau Reial,65.286
2020,19,2020-05-04,41.3853,2.1538,Eixample,49.538
2020,20,2020-05-11,41.3853,2.1538,Eixample,50.961
2020,21,2020-05-18,41.3853,2.1538,Eixample,46.786
2020,22,2020-05-25,41.3853,2.1538,Eixample,56.175
2020,19,2020-05-04,41.3987,2.1534,Gràcia,55.952
2020,20,2020-05-11,41.3987,2.1534,Gràcia,59.163
2020,21,2020-05-18,41.3987,2.1534,Gràcia,56.322
2020,22,2020-05-25,41.3987,2.1534,Gràcia,65.116
2020,19,2020-05-04,41.3864,2.1874,Ciutadella,50.433
2020,20,2020-05-11,41.3864,2.1874,Ciutadella,58.006
