Ort,Datum,Wert
Gràcia,2019-04-03 10,34
Gràcia,2019-04-03 11,50
Gràcia,2019-04-03 12,51
Gràcia,2019-04-03 13,54
Gràcia,2019-04-03 14,60
Gràcia,2019-04-03 15,65
Gràcia,2019-04-03 16,62
Gràcia,2019-04-03 17,46
Gràcia,2019-04-03 18,54
Gràcia,2019-04-03 19,55
Gràcia,2019-04-03 20,52
Gràcia,2019-04-03 21,48
Gràcia,2019-04-03 22,56
Gràcia,2019-04-03 23,40
Gràcia,2019-04-03 24,41
Gràcia,2019-04-04 01,64
Gràcia,2019-04-04 02,66
Gràcia,2019-04-04 03,69
Gràcia,2019-04-04 04,64
Gràcia,2019-04-04 05,61
Gràcia,2019-04-04 06,68
Gràcia,2019-04-04 07,69
Gràcia,2019-04-04 08,60
Gràcia,2019-04-04 09,46
Gràcia,2019-04-04 10,45
Gràcia,2019-04-04 11,51
Gràcia,2019-04-04 12,57
Gràcia,2019-04-04 13,57
Gràcia,2019-04-04 14,69
Gràcia,2019-04-04 15,56
Gràcia,2019-04-04 16,60
Gràcia,2019-04-04 17,71
Gràcia,2019-04-04 18,74
Gràcia,2019-04-04 19,67
Gràcia,2019-04-04 20,69
Gràcia,2019-04-04 21,63
Gràcia,2019-04-04 22,51
Gràcia,2019-04-04 23,41
Gràcia,2019-04-04 24,23
Gràcia,2019-04-05 01,45
Gràcia,2019-04-05 02,51
Gràcia,2019-04-05 03,59
Gràcia,2019-04-05 04,59
Gràcia,2019-04-05 05,58
Gràcia,2019-04-05 06,62
Gràcia,2019-04-05 07,49
Gràcia,2019-04-05 08,31
Gràcia,2019-04-05 09,13
Gràcia,2019-04-05 10,27
Gràcia,2019-04-05 11,15
Gràcia,2019-04-05 12,16
Gràcia,2019-04-05 13,50
Gràcia,2019-04-05 14,71
Gràcia,2019-04-05 15,65
Gràcia,2019-04-05 16,71
Gràcia,2019-04-05 17,71
Gràcia,2019-04-05 18,65
Gràcia,2019-04-05 19,63
Gràcia,2019-04-05 20,48
Gràcia,2019-04-05 21,54
Gràcia,2019-04-05 22,47
Gràcia,2019-04-05 23,51
Gràcia,2019-04-05 24,62
Gràcia,2019-04-06 01,49
Gràcia,2019-04-06 02,49
Gràcia,2019-04-06 03,54
Gràcia,2019-04-06 04,62
Gràcia,2019-04-06 05,62
Gràcia,2019-04-06 06,71
Gràcia,2019-04-06 07,62
Gràcia,2019-04-06 08,73
Gràcia,2019-04-06 09,60
Gràcia,2019-04-06 10,50
Gràcia,2019-04-06 11,61
Gràcia,2019-04-06 12,64
Gràcia,2019-04-06 13,66
Gràcia,2019-04-06 14,69
Gràcia,2019-04-06 15,69
Gràcia,2019-04-06 16,69
Gràcia,2019-04-06 17,70
Gràcia,2019-04-06 18,73
Gràcia,2019-04-06 19,75
Gràcia,2019-04-06 20,72
Gràcia,2019-04-06 21,57
Gràcia,2019-04-06 22,45
Gràcia,2019-04-06 23,32
Gràcia,2019-04-06 24,18
Gràcia,2019-04-07 01,32
Gràcia,2019-04-07 02,35
Gràcia,2019-04-07 03,49
Gràcia,2019-04-07 04,64
Gràcia,2019-04-07 05,77
Gràcia,2019-04-07 06,77
Gràcia,2019-04-07 07,77
Gràcia,2019-04-07 08,67
Gràcia,2019-04-07 09,61
Gràcia,2019-04-07 10,63
Gràcia,2019-04-07 11,66
Gràcia,2019-04-07 12,67
Gràcia,2019-04-07 13,71
Gràcia,2019-04-07 14,80
Gràcia,2019-04-07 15,80
Gràcia,2019-04-07 16,81
Gràcia,2019-04-07 17,75
Gràcia,2019-04-07 18,69
Gràcia,2019-04-07 19,58
Gràcia,2019-04-07 20,54
Gràcia,2019-04-07 21,45
Gràcia,2019-04-07 22,30
Gràcia,2019-04-07 23,15
Gràcia,2019-04-07 24,39
Gràcia,2019-04-08 01,47
Gràcia,2019-04-08 02,44
Gràcia,2019-04-08 03,55
Gràcia,2019-04-08 04,59
Gràcia,2019-04-08 05,56
Gràcia,2019-04-08 06,51
Gràcia,2019-04-08 07,22
Gràcia,2019-04-08 08,25
Gràcia,2019-04-08 09,28
Gràcia,2019-04-08 10,45
Gràcia,2019-04-08 11,55
Gràcia,2019-04-08 12,64
Gràcia,2019-04-08 13,42
Gràcia,2019-04-08 14,50
Gràcia,2019-04-08 15,65
Gràcia,2019-04-08 16,68
Gràcia,2019-04-08 17,63
Gràcia,2019-04-08 18,63
Gràcia,2019-04-08 19,59
Gràcia,2019-04-08 20,59
