Ort,Datum,Wert
Poblenou,2019-04-16 12,14
Poblenou,2019-04-16 13,12
Poblenou,2019-04-16 14,NA
Poblenou,2019-04-16 15,NA
Poblenou,2019-04-16 16,NA
Poblenou,2019-04-16 17,13
Poblenou,2019-04-16 18,18
Poblenou,2019-04-16 19,21
Poblenou,2019-04-16 20,17
Poblenou,2019-04-16 21,16
Poblenou,2019-04-16 22,10
Poblenou,2019-04-16 23,10
Poblenou,2019-04-16 24,11
Poblenou,2019-04-17 01,9
Poblenou,2019-04-17 02,9
Poblenou,2019-04-17 03,15
Poblenou,2019-04-17 04,49
Poblenou,2019-04-17 05,37
Poblenou,2019-04-17 06,40
Poblenou,2019-04-17 07,49
Poblenou,2019-04-17 08,48
Poblenou,2019-04-17 09,54
Poblenou,2019-04-17 10,53
Poblenou,2019-04-17 11,27
Poblenou,2019-04-17 12,19
Poblenou,2019-04-17 13,14
Poblenou,2019-04-17 14,11
Poblenou,2019-04-17 15,9
Poblenou,2019-04-17 16,11
Poblenou,2019-04-17 17,10
Poblenou,2019-04-17 18,14
Poblenou,2019-04-17 19,12
Poblenou,2019-04-17 20,13
Poblenou,2019-04-17 21,15
Poblenou,2019-04-17 22,15
Poblenou,2019-04-17 23,10
Poblenou,2019-04-17 24,8
Poblenou,2019-04-18 01,6
Poblenou,2019-04-18 02,5
Poblenou,2019-04-18 03,6
Poblenou,2019-04-18 04,4
Poblenou,2019-04-18 05,5
Poblenou,2019-04-18 06,9
Poblenou,2019-04-18 07,18
Poblenou,2019-04-18 08,25
Poblenou,2019-04-18 09,26
Poblenou,2019-04-18 10,16
Poblenou,2019-04-18 11,16
Poblenou,2019-04-18 12,17
Poblenou,2019-04-18 13,17
Poblenou,2019-04-18 14,13
Poblenou,2019-04-18 15,10
Poblenou,2019-04-18 16,8
Poblenou,2019-04-18 17,9
Poblenou,2019-04-18 18,8
Poblenou,2019-04-18 19,10
Poblenou,2019-04-18 20,10
Poblenou,2019-04-18 21,12
Poblenou,2019-04-18 22,11
Poblenou,2019-04-18 23,12
Poblenou,2019-04-18 24,12
Poblenou,2019-04-19 01,10
Poblenou,2019-04-19 02,15
Poblenou,2019-04-19 03,19
Poblenou,2019-04-19 04,16
Poblenou,2019-04-19 05,5
Poblenou,2019-04-19 06,11
Poblenou,2019-04-19 07,8
Poblenou,2019-04-19 08,8
Poblenou,2019-04-19 09,8
Poblenou,2019-04-19 10,11
Poblenou,2019-04-19 11,19
Poblenou,2019-04-19 12,15
Poblenou,2019-04-19 13,8
Poblenou,2019-04-19 14,5
