Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2020,6,2020-02-03,41.3853,2.1538,Eixample,1.573
2020,7,2020-02-10,41.3853,2.1538,Eixample,1.277
2020,8,2020-02-17,41.3853,2.1538,Eixample,1.851
2020,9,2020-02-24,41.3853,2.1538,Eixample,1.248
2020,6,2020-02-03,41.3987,2.1534,Gràcia,2.511
2020,7,2020-02-10,41.3987,2.1534,Gràcia,1.773
2020,8,2020-02-17,41.3987,2.1534,Gràcia,2.559
2020,9,2020-02-24,41.3987,2.1534,Gràcia,2.529
2020,6,2020-02-03,41.4261,2.148,Vall Hebron,1.074
2020,7,2020-02-10,41.4261,2.148,Vall Hebron,1.006
2020,8,2020-02-17,41.4261,2.148,Vall Hebron,1.417
2020,9,2020-02-24,41.4261,2.148,Vall Hebron,1.130
2020,6,2020-02-03,41.3875,2.1151,Palau Reial,1.037
2020,7,2020-02-10,41.3875,2.1151,Palau Reial,1.000
2020,8,2020-02-17,41.3875,2.1151,Palau Reial,1.054
2020,9,2020-02-24,41.3875,2.1151,Palau Reial,1.012
2020,10,2020-03-02,41.3853,2.1538,Eixample,2.378
2020,11,2020-03-09,41.3853,2.1538,Eixample,1.582
2020,12,2020-03-16,41.3853,2.1538,Eixample,1.504
2020,13,2020-03-23,41.3853,2.1538,Eixample,2.171
2020,14,2020-03-30,41.3853,2.1538,Eixample,1.609
2020,10,2020-03-02,41.3987,2.1534,Gràcia,2.380
2020,11,2020-03-09,41.3987,2.1534,Gràcia,2.419
2020,12,2020-03-16,41.3987,2.1534,Gràcia,1.955
2020,13,2020-03-23,41.3987,2.1534,Gràcia,3.324
2020,14,2020-03-30,41.3987,2.1534,Gràcia,3.329
2020,10,2020-03-02,41.4261,2.148,Vall Hebron,1.408
2020,11,2020-03-09,41.4261,2.148,Vall Hebron,1.107
2020,12,2020-03-16,41.4261,2.148,Vall Hebron,1.006
2020,13,2020-03-23,41.4261,2.148,Vall Hebron,1.000
2020,14,2020-03-30,41.4261,2.148,Vall Hebron,1.000
