Jahr,Wochennummer,Lat,Long,Ort,Durchschnitt
2020,1,41.3864,2.1874,Ciutadella,62.302
2020,2,41.3864,2.1874,Ciutadella,87.882
2020,3,41.3864,2.1874,Ciutadella,84.675
2020,4,41.3864,2.1874,Ciutadella,52.957
2020,5,41.3864,2.1874,Ciutadella,105.172
2020,1,41.4261,2.148,Vall Hebron,103.766
2020,2,41.4261,2.148,Vall Hebron,98.323
2020,3,41.4261,2.148,Vall Hebron,52.657
2020,4,41.4261,2.148,Vall Hebron,29.844
2020,5,41.4261,2.148,Vall Hebron,50.709
2020,1,41.3875,2.1151,Palau Reial,52.490
2020,2,41.3875,2.1151,Palau Reial,69.383
2020,3,41.3875,2.1151,Palau Reial,59.413
2020,4,41.3875,2.1151,Palau Reial,43.531
2020,5,41.3875,2.1151,Palau Reial,78.188
2020,6,41.4039,2.2045,Poblenou,88.873
2020,7,41.4039,2.2045,Poblenou,66.497
2020,8,41.4039,2.2045,Poblenou,71.025
2020,9,41.4039,2.2045,Poblenou,61.325
2020,6,41.3788,2.1331,Sants,64.881
2020,7,41.3788,2.1331,Sants,45.537
2020,8,41.3788,2.1331,Sants,55.979
2020,9,41.3788,2.1331,Sants,47.118
2020,6,41.3853,2.1538,Eixample,126.635
2020,7,41.3853,2.1538,Eixample,80.803
2020,8,41.3853,2.1538,Eixample,97.308
2020,9,41.3853,2.1538,Eixample,80.311
2020,6,41.3987,2.1534,Gràcia,92.351
2020,7,41.3987,2.1534,Gràcia,64.880
2020,8,41.3987,2.1534,Gràcia,87.057
2020,9,41.3987,2.1534,Gràcia,73.847
2020,6,41.3864,2.1874,Ciutadella,84.571
2020,7,41.3864,2.1874,Ciutadella,43.879
2020,8,41.3864,2.1874,Ciutadella,62.905
2020,9,41.3864,2.1874,Ciutadella,48.939
2020,6,41.4261,2.148,Vall Hebron,54.252
2020,7,41.4261,2.148,Vall Hebron,37.344
2020,8,41.4261,2.148,Vall Hebron,59.323
2020,9,41.4261,2.148,Vall Hebron,34.293
2020,6,41.3875,2.1151,Palau Reial,47.124
2020,7,41.3875,2.1151,Palau Reial,39.995
2020,8,41.3875,2.1151,Palau Reial,51.821
2020,9,41.3875,2.1151,Palau Reial,38.701
2020,10,41.4039,2.2045,Poblenou,35.197
2020,11,41.4039,2.2045,Poblenou,56.006
2020,12,41.4039,2.2045,Poblenou,22.233
2020,13,41.4039,2.2045,Poblenou,18.776
2020,14,41.4039,2.2045,Poblenou,17.929
2020,10,41.3788,2.1331,Sants,27.508
2020,11,41.3788,2.1331,Sants,47.306
2020,12,41.3788,2.1331,Sants,21.262
2020,13,41.3788,2.1331,Sants,15.780
2020,14,41.3788,2.1331,Sants,17.851
2020,10,41.3853,2.1538,Eixample,56.166
2020,11,41.3853,2.1538,Eixample,76.544
2020,12,41.3853,2.1538,Eixample,28.113
2020,13,41.3853,2.1538,Eixample,24.311
2020,14,41.3853,2.1538,Eixample,27.669
2020,10,41.3987,2.1534,Gràcia,41.903
2020,11,41.3987,2.1534,Gràcia,74.823
2020,12,41.3987,2.1534,Gràcia,27.856
2020,13,41.3987,2.1534,Gràcia,25.546
2020,14,41.3987,2.1534,Gràcia,26.265
2020,10,41.3864,2.1874,Ciutadella,29.850
2020,11,41.3864,2.1874,Ciutadella,54.993
2020,12,41.3864,2.1874,Ciutadella,14.596
2020,13,41.3864,2.1874,Ciutadella,12.041
2020,14,41.3864,2.1874,Ciutadella,15.198
2020,10,41.4261,2.148,Vall Hebron,28.898
2020,11,41.4261,2.148,Vall Hebron,56.949
2020,12,41.4261,2.148,Vall Hebron,26.749
2020,13,41.4261,2.148,Vall Hebron,14.517
2020,14,41.4261,2.148,Vall Hebron,18.347
2020,10,41.3875,2.1151,Palau Reial,21.987
2020,11,41.3875,2.1151,Palau Reial,42.719
2020,12,41.3875,2.1151,Palau Reial,15.378
2020,13,41.3875,2.1151,Palau Reial,9.717
2020,14,41.3875,2.1151,Palau Reial,13.554
2020,15,41.4039,2.2045,Poblenou,20.866
2020,16,41.4039,2.2045,Poblenou,15.120
2020,17,41.4039,2.2045,Poblenou,24.143
2020,18,41.4039,2.2045,Poblenou,17.766
2020,15,41.3788,2.1331,Sants,22.141
2020,16,41.3788,2.1331,Sants,13.836
2020,17,41.3788,2.1331,Sants,18.189
2020,18,41.3788,2.1331,Sants,11.198
2020,15,41.3853,2.1538,Eixample,32.324
2020,16,41.3853,2.1538,Eixample,20.998
2020,17,41.3853,2.1538,Eixample,27.133
2020,18,41.3853,2.1538,Eixample,19.759
2020,15,41.3987,2.1534,Gràcia,29.724
2020,16,41.3987,2.1534,Gràcia,20.566
2020,17,41.3987,2.1534,Gràcia,29.496
2020,18,41.3987,2.1534,Gràcia,15.986
2020,15,41.3864,2.1874,Ciutadella,20.930
2020,16,41.3864,2.1874,Ciutadella,12.068
2020,17,41.3864,2.1874,Ciutadella,22.279
2020,18,41.3864,2.1874,Ciutadella,13.789
2020,15,41.4261,2.148,Vall Hebron,34.730
2020,16,41.4261,2.148,Vall Hebron,16.460
2020,15,41.3875,2.1151,Palau Reial,15.100
2020,16,41.3875,2.1151,Palau Reial,11.021
2020,17,41.3875,2.1151,Palau Reial,15.676
2020,18,41.3875,2.1151,Palau Reial,8.302
2020,19,41.4039,2.2045,Poblenou,25.542
2020,20,41.4039,2.2045,Poblenou,17.795
2020,21,41.4039,2.2045,Poblenou,37.443
2020,22,41.4039,2.2045,Poblenou,27.021
2020,19,41.3788,2.1331,Sants,22.857
2020,20,41.3788,2.1331,Sants,12.015
2020,21,41.3788,2.1331,Sants,28.548
2020,22,41.3788,2.1331,Sants,16.517
2020,19,41.3853,2.1538,Eixample,41.933
2020,20,41.3853,2.1538,Eixample,22.602
2020,21,41.3853,2.1538,Eixample,55.303
2020,22,41.3853,2.1538,Eixample,39.036
2020,19,41.3987,2.1534,Gràcia,34.311
2020,20,41.3987,2.1534,Gràcia,21.874
2020,21,41.3987,2.1534,Gràcia,48.409
2020,22,41.3987,2.1534,Gràcia,34.228
2020,19,41.3864,2.1874,Ciutadella,26.068
2020,20,41.3864,2.1874,Ciutadella,15.773
2020,21,41.3864,2.1874,Ciutadella,44.032
2020,22,41.3864,2.1874,Ciutadella,20.732
2020,19,41.4261,2.148,Vall Hebron,8.255
2020,20,41.4261,2.148,Vall Hebron,12.017
2020,21,41.4261,2.148,Vall Hebron,21.695
2020,22,41.4261,2.148,Vall Hebron,15.568
2020,19,41.3875,2.1151,Palau Reial,15.404
