Datum,Jahr,Wert
2020-10-23 00:00:00,2019,36.741
2020-10-23 00:00:00,2020,27.893
2020-10-24 00:00:00,2019,33.766
2020-10-24 00:00:00,2020,19.025
2020-10-25 00:00:00,2019,41.025
2020-10-25 00:00:00,2020,16.435
2020-10-26 00:00:00,2019,47.268
2020-10-26 00:00:00,2020,15.458
2020-10-27 00:00:00,2019,43.522
2020-10-27 00:00:00,2020,25.922
2020-10-28 00:00:00,2019,51.351
2020-10-28 00:00:00,2020,37.892
2020-10-29 00:00:00,2019,50.572
2020-10-29 00:00:00,2020,45.267
2020-10-30 00:00:00,2019,64.653
2020-10-30 00:00:00,2020,45.563
2020-10-31 00:00:00,2019,48.048
2020-10-31 00:00:00,2020,31.494
2020-11-01 00:00:00,2019,40.149
2020-11-01 00:00:00,2020,25.093
2020-11-02 00:00:00,2019,35.155
2020-11-02 00:00:00,2020,36.981
2020-11-03 00:00:00,2019,13.315
2020-11-03 00:00:00,2020,25.019
2020-11-04 00:00:00,2019,33.169
2020-11-04 00:00:00,2020,30.089
2020-11-05 00:00:00,2019,18.275
2020-11-05 00:00:00,2020,24.133
2020-11-06 00:00:00,2019,20.85
2020-11-06 00:00:00,2020,18.006
2020-11-07 00:00:00,2019,34.413
2020-11-07 00:00:00,2020,17.64
2020-11-08 00:00:00,2019,19.078
2020-11-08 00:00:00,2020,24.94
2020-11-09 00:00:00,2019,20.143
2020-11-09 00:00:00,2020,50.037
2020-11-10 00:00:00,2019,18.53
2020-11-10 00:00:00,2020,42.006
2020-11-11 00:00:00,2019,24.714
2020-11-11 00:00:00,2020,33.671
2020-11-12 00:00:00,2019,31.352
2020-11-12 00:00:00,2020,39.591
2020-11-13 00:00:00,2019,43.013
2020-11-13 00:00:00,2020,51.387
2020-11-14 00:00:00,2019,49.032
2020-11-14 00:00:00,2020,29.589
2020-11-15 00:00:00,2019,35.855
2020-11-15 00:00:00,2020,20.725
2020-11-16 00:00:00,2019,24.022
2020-11-16 00:00:00,2020,26.328
2020-11-17 00:00:00,2019,22.942
2020-11-17 00:00:00,2020,37.252
2020-11-18 00:00:00,2019,36.526
2020-11-18 00:00:00,2020,48.537
2020-11-19 00:00:00,2019,41.133
2020-11-19 00:00:00,2020,41.089
2020-11-20 00:00:00,2019,63.168
2020-11-21 00:00:00,2019,48.484
2020-11-21 00:00:00,2020,32.702
2020-11-22 00:00:00,2019,50.594
2020-11-22 00:00:00,2020,31.012
2020-11-23 00:00:00,2019,16.149
2020-11-23 00:00:00,2020,45.118
2020-11-24 00:00:00,2019,18.262
2020-11-24 00:00:00,2020,47.662
2020-11-25 00:00:00,2019,40.285
2020-11-25 00:00:00,2020,59.783
2020-11-26 00:00:00,2019,50.244
2020-11-26 00:00:00,2020,34.845
2020-11-27 00:00:00,2019,41.515
2020-11-27 00:00:00,2020,18.393
2020-11-28 00:00:00,2019,35.547
2020-11-29 00:00:00,2019,30.571
2020-11-30 00:00:00,2019,42.924
2020-12-01 00:00:00,2019,29.613
2020-12-01 00:00:00,2020,27.392
2020-12-02 00:00:00,2019,50.912
2020-12-02 00:00:00,2020,28.885
2020-12-03 00:00:00,2019,34.667
2020-12-03 00:00:00,2020,29.21
2020-12-04 00:00:00,2019,22.321
2020-12-04 00:00:00,2020,34.621
2020-12-05 00:00:00,2019,30.346
2020-12-05 00:00:00,2020,21.609
